Number,Neighborhood,Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH,Address,location,point,latitude,longitude,altitude,Zones
0,Gávea,2139.0,92.4,98.7,100.0,97.0,"Gávea, Rio de Janeiro, Brazil","Gávea, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9814243, -43.2383245, 0.0)",-22.9814243,-43.2383245,0.0,South
1,Leblon,2441.0,90.8,99.3,100.0,96.7,"Leblon, Rio de Janeiro, Brazil","Leblon, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.983556, -43.2249377, 0.0)",-22.983556,-43.2249377,0.0,South
2,Jardim Guanabara,1316.0,92.4,99.3,97.2,96.3,"Jardim Guanabara, Rio de Janeiro, Brazil","Jardim Guanabara, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8128362, -43.2007792, 0.0)",-22.8128362,-43.2007792,0.0,North
3,Ipanema,2465.0,89.5,99.2,100.0,96.2,"Ipanema, Rio de Janeiro, Brazil","Ipanema, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9839557, -43.2022163, 0.0)",-22.9839557,-43.2022163,0.0,South
4,Lagoa,2955.0,88.2,99.6,100.0,95.89999999999999,"Lagoa, Rio de Janeiro, Brazil","Lagoa, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9624658, -43.2024884, 0.0)",-22.9624658,-43.2024884,0.0,South
5,Flamengo,1781.0,88.2,99.5,100.0,95.89999999999999,"Flamengo, Rio de Janeiro, Brazil","Flamengo, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9339841, -43.1745744, 0.0)",-22.9339841,-43.1745744,0.0,South
6,Humaitá,1830.0,88.2,99.5,100.0,95.89999999999999,"Humaitá, Rio de Janeiro, Brazil","Humaitá, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9546413, -43.2004797, 0.0)",-22.9546413,-43.2004797,0.0,South
7,Barra da Tijuca,2488.0,88.1,99.6,100.0,95.89999999999999,"Barra da Tijuca, Rio de Janeiro, Brazil","Barra da Tijuca, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9997404, -43.3659929, 0.0)",-22.9997404,-43.3659929,0.0,West
8, Joá,2488.0,88.1,99.6,100.0,95.89999999999999," Joá, Rio de Janeiro, Brazil","Joá, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-23.0077797, -43.2872344, 0.0)",-23.0077797,-43.2872344,0.0,West
9,Laranjeiras,1679.0,88.1,99.2,100.0,95.7,"Laranjeiras, Rio de Janeiro, Brazil","Laranjeiras, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9343173, -43.1878165, 0.0)",-22.9343173,-43.1878165,0.0,South
10,Jardim Botânico,1952.0,88.1,99.1,100.0,95.7,"Jardim Botânico, Rio de Janeiro, Brazil","Jardim Botanico, Horto, Jardim Botânico, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.968384550000003, -43.22869449858106, 0.0)",-22.968384550000003,-43.22869449858106,0.0,South
11,Copacabana,1623.0,88.0,99.0,100.0,95.6,"Copacabana, Rio de Janeiro, Brazil","Copacabana, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9719642, -43.1843432, 0.0)",-22.9719642,-43.1843432,0.0,South
12,Leme,1713.0,87.5,99.2,100.0,95.5,"Leme, Rio de Janeiro, Brazil","Leme, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.961704, -43.1669042, 0.0)",-22.961704,-43.1669042,0.0,South
13,Botafogo,1376.0,88.8,99.0,97.89999999999999,95.19999999999999,"Botafogo, Rio de Janeiro, Brazil","Botafogo de Futebol e Regatas, Avenida Repórter Nestor Moreira, Botafogo, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22290-210, Brasil","(-22.948844649999998, -43.17982909625297, 0.0)",-22.948844649999998,-43.17982909625297,0.0,South
14, Urca,1376.0,88.8,99.0,97.89999999999999,95.19999999999999," Urca, Rio de Janeiro, Brazil","Urca, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.954074, -43.1679727, 0.0)",-22.954074,-43.1679727,0.0,South
15,Maracanã,1206.0,88.2,99.3,95.7,94.39999999999999,"Maracanã, Rio de Janeiro, Brazil","Maracanã, Avenida Presidente Castelo Branco, Maracanã, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20271-130, Brasil","(-22.912091949999997, -43.23114540590559, 0.0)",-22.912091949999997,-43.23114540590559,0.0,North
16,Glória,1183.0,87.3,99.4,95.39999999999999,94.0,"Glória, Rio de Janeiro, Brazil","Glória, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9183225, -43.1739232, 0.0)",-22.9183225,-43.1739232,0.0,Downtown
17,Méier,1000.0,87.3,99.3,92.60000000000001,93.10000000000001,"Méier, Rio de Janeiro, Brazil","Méier, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9026425, -43.2817263, 0.0)",-22.9026425,-43.2817263,0.0,North
18,Tijuca,1204.0,83.39999999999999,98.7,95.7,92.60000000000001,"Tijuca, Rio de Janeiro, Brazil","Tijuca, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9332164, -43.2381453, 0.0)",-22.9332164,-43.2381453,0.0,North
19, Alto da Boa Vista,1204.0,83.39999999999999,98.7,95.7,92.60000000000001," Alto da Boa Vista, Rio de Janeiro, Brazil","Alto da Boa Vista, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20531-570, Brasil","(-22.9621126, -43.2535816, 0.0)",-22.9621126,-43.2535816,0.0,North
20,Todos os Santos,825.0,88.2,99.0,89.4,92.2,"Todos os Santos, Rio de Janeiro, Brazil","Todos os Santos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.894563, -43.28506, 0.0)",-22.894563,-43.28506,0.0,North
21,Anil,768.0,86.9,98.2,88.2,91.10000000000001,"Anil, Rio de Janeiro, Brazil","Anil, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22750-006, Brasil","(-22.9558133, -43.3384123, 0.0)",-22.9558133,-43.3384123,0.0,West
22,Vila da Penha,669.0,87.7,99.2,85.9,90.9,"Vila da Penha, Rio de Janeiro, Brazil","Vila da Penha, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8435065, -43.3100585, 0.0)",-22.8435065,-43.3100585,0.0,North
23,Andaraí,897.0,83.3,98.7,90.8,90.9,"Andaraí, Rio de Janeiro, Brazil","Andaraí, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9290845, -43.2534858, 0.0)",-22.9290845,-43.2534858,0.0,North
24,Riachuelo,715.0,85.7,98.9,87.0,90.5,"Riachuelo, Rio de Janeiro, Brazil","Riachuelo, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9026953, -43.255175, 0.0)",-22.9026953,-43.255175,0.0,North
25,Campinho,684.0,87.5,97.5,86.3,90.4,"Campinho, Rio de Janeiro, Brazil","Campinho, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21320-060, Brasil","(-22.8852187, -43.347738, 0.0)",-22.8852187,-43.347738,0.0,North
26, Vila Valqueire,684.0,87.5,97.5,86.3,90.4," Vila Valqueire, Rio de Janeiro, Brazil","Vila Valqueire, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8886093, -43.3657758, 0.0)",-22.8886093,-43.3657758,0.0,West
27,Moneró,730.0,85.7,98.1,87.3,90.4,"Moneró, Rio de Janeiro, Brazil","Moneró, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7964947, -43.197406, 0.0)",-22.7964947,-43.197406,0.0,North
28, Portuguesa,730.0,85.7,98.1,87.3,90.4," Portuguesa, Rio de Janeiro, Brazil","Portuguesa, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21931-003, Brasil","(-22.7999597, -43.2068169, 0.0)",-22.7999597,-43.2068169,0.0,North
29,Catete,822.0,83.3,97.8,89.3,90.10000000000001,"Catete, Rio de Janeiro, Brazil","Catete, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9269199, -43.1802186, 0.0)",-22.9269199,-43.1802186,0.0,South
30,Vila Isabel,931.0,80.80000000000001,98.1,91.4,90.10000000000001,"Vila Isabel, Rio de Janeiro, Brazil","Vila Isabel, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9152219, -43.2472627, 0.0)",-22.9152219,-43.2472627,0.0,North
31,Cachambi,709.0,84.5,98.8,86.8,90.0,"Cachambi, Rio de Janeiro, Brazil","Cachambi, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8897634, -43.2744953, 0.0)",-22.8897634,-43.2744953,0.0,North
32,Pechincha,751.0,84.39999999999999,97.8,87.8,90.0,"Pechincha, Rio de Janeiro, Brazil","Pechincha, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.928988, -43.3534191, 0.0)",-22.928988,-43.3534191,0.0,West
33,Freguesia (Ilha),766.0,83.39999999999999,97.89999999999999,88.2,89.8,"Freguesia (Ilha), Rio de Janeiro, Brazil","Freguesia (Ilha), Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7850602, -43.1694534, 0.0)",-22.7850602,-43.1694534,0.0,North
34,Recreio dos Bandeirantes,1166.0,79.3,93.89999999999999,95.19999999999999,89.4,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil","Recreio dos Bandeirantes, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-23.0185151, -43.4634021, 0.0)",-23.0185151,-43.4634021,0.0,West
35, Grumari,1166.0,79.3,93.89999999999999,95.19999999999999,89.4," Grumari, Rio de Janeiro, Brazil","Grumari, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-23.0470388, -43.5334787, 0.0)",-23.0470388,-43.5334787,0.0,West
36,Centro,633.0,85.2,98.1,85.0,89.4,"Centro, Rio de Janeiro, Brazil","Centro, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9043934, -43.1830653, 0.0)",-22.9043934,-43.1830653,0.0,Downtown
37, Lapa,633.0,85.2,98.1,85.0,89.4," Lapa, Rio de Janeiro, Brazil","Lapa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9130257, -43.1822358, 0.0)",-22.9130257,-43.1822358,0.0,Downtown
38,Higienópolis,614.0,81.8,98.3,84.5,88.2,"Higienópolis, Rio de Janeiro, Brazil","Higienópolis, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21061-280, Brasil","(-22.873999, -43.2613682, 0.0)",-22.873999,-43.2613682,0.0,North
39,Santa Teresa,701.0,81.8,95.0,86.7,87.8,"Santa Teresa, Rio de Janeiro, Brazil","Santa Teresa, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20240-193, Brasil","(-22.9213991, -43.1882138, 0.0)",-22.9213991,-43.1882138,0.0,Downtown
40, Cosme Velho,701.0,81.8,95.0,86.7,87.8," Cosme Velho, Rio de Janeiro, Brazil","Cosme Velho, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9415143, -43.2006244, 0.0)",-22.9415143,-43.2006244,0.0,South
41,Água Santa,496.0,85.3,96.89999999999999,80.9,87.7,"Água Santa, Rio de Janeiro, Brazil","Água Santa, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9111428, -43.3121258, 0.0)",-22.9111428,-43.3121258,0.0,North
42, Encantado,496.0,85.3,96.89999999999999,80.9,87.7," Encantado, Rio de Janeiro, Brazil","Encantado, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20745000, Brasil","(-22.8974743, -43.3042461, 0.0)",-22.8974743,-43.3042461,0.0,North
43,Taquara,544.0,85.3,95.1,82.39999999999999,87.6,"Taquara, Rio de Janeiro, Brazil","Taquara, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9218864, -43.384646, 0.0)",-22.9218864,-43.384646,0.0,West
44,Vila Kosmos,498.0,87.0,94.89999999999999,81.0,87.6,"Vila Kosmos, Rio de Janeiro, Brazil","Vila Kosmos, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.853597, -43.3032021, 0.0)",-22.853597,-43.3032021,0.0,North
45,Vidigal,1131.0,76.9,90.5,94.6,87.3,"Vidigal, Rio de Janeiro, Brazil","Vidigal, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9952094, -43.2408556, 0.0)",-22.9952094,-43.2408556,0.0,South
46, São Conrado,1131.0,76.9,90.5,94.6,87.3," São Conrado, Rio de Janeiro, Brazil","São Conrado, Zona Sul do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9913592, -43.2675329, 0.0)",-22.9913592,-43.2675329,0.0,South
47,Cidade Nova,640.0,78.4,96.5,85.1,86.7,"Cidade Nova, Rio de Janeiro, Brazil","Cidade Nova, Zona Central do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9100508, -43.201756, 0.0)",-22.9100508,-43.201756,0.0,Downtown
48, Praça da Bandeira,640.0,78.4,96.5,85.1,86.7," Praça da Bandeira, Rio de Janeiro, Brazil","Praça da Bandeira, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9112162, -43.2131983, 0.0)",-22.9112162,-43.2131983,0.0,North
49,Bonsucesso,552.0,82.8,92.80000000000001,82.69999999999999,86.1,"Bonsucesso, Rio de Janeiro, Brazil","Bonsucesso, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8659317, -43.253318, 0.0)",-22.8659317,-43.253318,0.0,North
50,Cocotá,518.0,81.8,94.89999999999999,81.6,86.1,"Cocotá, Rio de Janeiro, Brazil","Cocotá, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.8050047, -43.1805463, 0.0)",-22.8050047,-43.1805463,0.0,North
51, Bancários,518.0,81.8,94.89999999999999,81.6,86.1," Bancários, Rio de Janeiro, Brazil","Bancários, Zona Norte do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.7917588, -43.180966, 0.0)",-22.7917588,-43.180966,0.0,North
